                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20231127"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      500                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1534318286412032E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1534318286412032E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954187709596903E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954187709596903E+001                 -1.5954187709596903E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6254381357915260E+000                  3.7136938429529573E+000                  2.1286238107579236E+000                  1.2600012518349102E+000                  0.0000000000000000E+000                  9.6807737274446719E+000                 -4.2904368759893341E+000                  5.8054897129830412E+000                  6.2181806416978713E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                       5                                      501                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1320857117033002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1320857117033002E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954187555420077E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954187555420077E+001                 -1.5954187555420077E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255421720933176E+000                  3.7141107268248681E+000                  2.1286241800902950E+000                  1.2600005131701677E+000                  0.0000000000000000E+000                  9.6807737672017318E+000                 -4.2904368453833284E+000                  5.8054897223457678E+000                  6.2181806415404561E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      10                                      504                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1335472544029699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1335472544029699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954187091040330E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954187091040330E+001                 -1.5954187091040330E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255428793736604E+000                  3.7141132925023204E+000                  2.1286240483683363E+000                  1.2600007766140846E+000                  0.0000000000000000E+000                  9.6807738856043990E+000                 -4.2904367547768958E+000                  5.8054897506207022E+000                  6.2181806410620732E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      15                                      501                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1366351424170165E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1366351424170165E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954185934472005E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954185934472005E+001                 -1.5954185934472005E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255292146369467E+000                  3.7140581041050362E+000                  2.1286237836431212E+000                  1.2600013060645148E+000                  0.0000000000000000E+000                  9.6807741804312695E+000                 -4.2904365291895141E+000                  5.8054898210449419E+000                  6.2181806398704254E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      20                                      504                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1419214387054063E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1419214387054063E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954183058262949E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954183058262949E+001                 -1.5954183058262949E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255186184861472E+000                  3.7140149155152296E+000                  2.1286233816498168E+000                  1.2600021100511241E+000                  0.0000000000000000E+000                  9.6807749137236598E+000                 -4.2904359680672455E+000                  5.8054899961735345E+000                  6.2181806369073089E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      25                                      501                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1479758486139084E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1479758486139084E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954175902546350E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954175902546350E+001                 -1.5954175902546350E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255111526654016E+000                  3.7139836288698942E+000                  2.1286226699686415E+000                  1.2600035334134743E+000                  0.0000000000000000E+000                  9.6807767381543552E+000                 -4.2904345719657950E+000                  5.8054904318717835E+000                  6.2181806295355857E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      30                                      504                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1517515592067245E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1517515592067245E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954158096765360E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954158096765360E+001                 -1.5954158096765360E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255069796743142E+000                  3.7139640798376590E+000                  2.1286212414346988E+000                  1.2600063904813599E+000                  0.0000000000000000E+000                  9.6807812779350044E+000                 -4.2904310980109397E+000                  5.8054915160333822E+000                  6.2181806111921989E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      35                                      501                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1529188514491505E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1529188514491505E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954113787120647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954113787120647E+001                 -1.5954113787120647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255054863282647E+000                  3.7139518537477771E+000                  2.1286181150818555E+000                  1.2600126431870469E+000                  0.0000000000000000E+000                  9.6807925749882422E+000                 -4.2904224533049078E+000                  5.8054942139847823E+000                  6.2181805655434319E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      40                                      504                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1530716537047115E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1530716537047115E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5954003529398557E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5954003529398557E+001                 -1.5954003529398557E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255056983810814E+000                  3.7139381365983244E+000                  2.1286108324014967E+000                  1.2600272085477637E+000                  0.0000000000000000E+000                  9.6808206859550960E+000                 -4.2904009423589864E+000                  5.8055009274659595E+000                  6.2181804519491202E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      45                                      501                  1.8281309940044158E-001                 -1.5160251739045081E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1532553454064124E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113939E-001                  3.1532553454064124E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5953729182500386E+001                 -9.8999999999999986E+001                 -3.1608149544718025E+001                 -1.5953729182500386E+001                 -1.5953729182500386E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255078091830093E+000                  3.7139112355799124E+000                  2.1285931602884340E+000                  1.2600625527738896E+000                  0.0000000000000000E+000                  9.6808906332932736E+000                 -4.2903474175382694E+000                  5.8055176323100266E+000                  6.2181801692775829E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      50                                      504                  4.5497190750010669E-001                 -1.1201189436663841E+000                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1542677986697853E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1542677986697853E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5953046621049729E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5953046621049729E+001                 -1.5953046621049729E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255135356684161E+000                  3.7138468707730130E+000                  2.1285495249141708E+000                  1.2601498235224160E+000                  0.0000000000000000E+000                  9.6810646642914406E+000                 -4.2902142447881078E+000                  5.8055591933861628E+000                  6.2181794658829559E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      55                                      502                  1.1321901128706655E+000                 -7.2421271342826010E-001                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1571791019932322E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113928E-001                  3.1571791019932322E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5951349029064794E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5951349029064794E+001                 -1.5951349029064794E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255265120493156E+000                  3.7136822903854370E+000                  2.1284412819585850E+000                  1.2603663094335877E+000                  0.0000000000000000E+000                  9.6814975438943200E+000                 -4.2898829808359134E+000                  5.8056625610455139E+000                  6.2181777157520290E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860802E-003                  9.3805276451495445E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
                                      60                                      505                  2.8173257176583335E+000                 -3.2830648319013606E-001                  1.2000000000000000E+001                  3.4377687156408292E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999458544113917E-001                  3.1657917978076565E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999458544113917E-001                  3.1657917978076565E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5947130412152893E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5947130412152893E+001                 -1.5947130412152893E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6255622481041447E+000                  3.7132871093586477E+000                  2.1281722193355312E+000                  1.2609044346796947E+000                  0.0000000000000000E+000                  9.6825735873588084E+000                 -4.2890594353699418E+000                  5.8059194404882088E+000                  6.2181733622402935E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861423E-003                  9.3805276451495428E-003                  3.4468833607860807E-003                  9.3805276451495480E-003                  8.4000000000000021E+000                  3.3596424283769881E+000                                        0                                        2 
